"時点","地域コード","地域","延べ宿泊者数（総数）【人泊】","注記"
"2012年3月","03000","岩手県","546390",""
"2012年4月","03000","岩手県","441170",""
"2012年5月","03000","岩手県","582630",""
"2012年6月","03000","岩手県","560090",""
"2012年7月","03000","岩手県","560440",""
"2012年8月","03000","岩手県","729380",""
"2012年9月","03000","岩手県","531010",""
"2012年10月","03000","岩手県","605110",""
"2012年11月","03000","岩手県","520400",""
"2012年12月","03000","岩手県","459530",""
"2013年1月","03000","岩手県","408360",""
"2013年2月","03000","岩手県","412720",""
"2013年3月","03000","岩手県","442020",""
"2013年4月","03000","岩手県","387850",""
"2013年5月","03000","岩手県","461870",""
"2013年6月","03000","岩手県","434590",""
"2013年7月","03000","岩手県","489950",""
"2013年8月","03000","岩手県","666250",""
"2013年9月","03000","岩手県","477540",""
"2013年10月","03000","岩手県","516350",""
"2013年11月","03000","岩手県","469830",""
"2013年12月","03000","岩手県","423390",""
"2014年1月","03000","岩手県","451260",""
"2014年2月","03000","岩手県","435350",""
"2014年3月","03000","岩手県","476230",""
"2014年4月","03000","岩手県","392860",""
"2014年5月","03000","岩手県","499610",""
"2014年6月","03000","岩手県","434570",""
"2014年7月","03000","岩手県","506190",""
"2014年8月","03000","岩手県","678130",""
"2014年9月","03000","岩手県","524840",""
"2014年10月","03000","岩手県","569540",""
"2014年11月","03000","岩手県","478330",""
"2014年12月","03000","岩手県","442080",""
"2015年1月","03000","岩手県","457600",""
"2015年2月","03000","岩手県","428220",""
"2015年3月","03000","岩手県","465380",""
"2015年4月","03000","岩手県","432500",""
"2015年5月","03000","岩手県","531290",""
"2015年6月","03000","岩手県","471430",""
"2015年7月","03000","岩手県","535560",""
"2015年8月","03000","岩手県","684030",""
"2015年9月","03000","岩手県","556930",""
"2015年10月","03000","岩手県","619590",""
"2015年11月","03000","岩手県","518210",""
"2015年12月","03000","岩手県","455530",""
"2016年1月","03000","岩手県","492670",""
"2016年2月","03000","岩手県","483410",""
"2016年3月","03000","岩手県","492520",""
"2016年4月","03000","岩手県","452070",""
"2016年5月","03000","岩手県","508680",""
"2016年6月","03000","岩手県","494780",""
"2016年7月","03000","岩手県","520740",""
"2016年8月","03000","岩手県","654070",""
"2016年9月","03000","岩手県","548480",""
"2016年10月","03000","岩手県","676620",""
"2016年11月","03000","岩手県","474270",""
"2016年12月","03000","岩手県","443130",""
"2017年1月","03000","岩手県","450780",""
"2017年2月","03000","岩手県","418600",""
"2017年3月","03000","岩手県","482450",""
"2017年4月","03000","岩手県","439430",""
"2017年5月","03000","岩手県","510900",""
"2017年6月","03000","岩手県","480300",""
"2017年7月","03000","岩手県","528470",""
"2017年8月","03000","岩手県","680780",""
"2017年9月","03000","岩手県","549980",""
"2017年10月","03000","岩手県","576700",""
"2017年11月","03000","岩手県","497050",""
"2017年12月","03000","岩手県","460450",""
"2018年1月","03000","岩手県","467650",""
"2018年2月","03000","岩手県","454750",""
"2018年3月","03000","岩手県","461860",""
"2018年4月","03000","岩手県","452920",""
"2018年5月","03000","岩手県","494010",""
"2018年6月","03000","岩手県","488330",""
"2018年7月","03000","岩手県","518990",""
"2018年8月","03000","岩手県","695680",""
"2018年9月","03000","岩手県","518080",""
"2018年10月","03000","岩手県","574060",""
"2018年11月","03000","岩手県","500970",""
"2018年12月","03000","岩手県","471490",""
"2019年1月","03000","岩手県","494980",""
"2019年2月","03000","岩手県","476730",""
"2019年3月","03000","岩手県","518030",""
"2019年4月","03000","岩手県","490380",""
