variable	year	city	value
Other fuel & light	2020	Sendai-shi	1982
Water & sewerage charges	2020	Sendai-shi	3550
Furniture & household utensils	2020	Sendai-shi	7394
Household durable goods	2020	Sendai-shi	1787
Durable goods assisting housework	2020	Sendai-shi	928
Heating & cooling appliances	2020	Sendai-shi	558
General furniture	2020	Sendai-shi	301
Interior furnishings & decorations	2020	Sendai-shi	438
Bedding	2020	Sendai-shi	484
Domestic utensils	2020	Sendai-shi	1787
Domestic non-durable goods	2020	Sendai-shi	2194
Domestic services	2020	Sendai-shi	702
Clothing & footwear	2020	Sendai-shi	5741
Japanese clothing	2020	Sendai-shi	26
Clothing	2020	Sendai-shi	2196
Shirts & sweaters	2020	Sendai-shi	1117
Underwear	2020	Sendai-shi	714
Cloth & thread	2020	Sendai-shi	76
Other clothing	2020	Sendai-shi	439
Footwear	2020	Sendai-shi	720
Services related to clothing	2020	Sendai-shi	453
Medical care	2020	Sendai-shi	8528
Medicines	2020	Sendai-shi	1852
Health fortification	2020	Sendai-shi	866
Medical supplies & appliances	2020	Sendai-shi	1511
Medical services	2020	Sendai-shi	4300
Transportation & communication	2020	Sendai-shi	23514
Public transportation	2020	Sendai-shi	3037
Private transportation	2020	Sendai-shi	11550
Purchase of vehicles	2020	Sendai-shi	1224
Purchase of bicycles	2020	Sendai-shi	203
Maintenance of vehicles	2020	Sendai-shi	10122
Communication	2020	Sendai-shi	8927
Education	2020	Sendai-shi	3305
Culture & recreation	2020	Sendai-shi	17205
Recreational durable goods	2020	Sendai-shi	1369
Recreational goods	2020	Sendai-shi	3775
Books & other reading materials	2020	Sendai-shi	2775
Recreational services	2020	Sendai-shi	9286
Accommodation services	2020	Sendai-shi	1049
Package tours	2020	Sendai-shi	228
Lesson fees	2020	Sendai-shi	1318
Other recreational services	2020	Sendai-shi	6691
Other consumption expenditures	2020	Sendai-shi	35824
Miscellaneous	2020	Sendai-shi	16359
Personal care services	2020	Sendai-shi	2127
Personal care goods	2020	Sendai-shi	2664
Personal effects	2020	Sendai-shi	822
Tobacco	2020	Sendai-shi	1060
Other miscellaneous	2020	Sendai-shi	9687
Pocket money (of which, detailed uses unknown)	2020	Sendai-shi	3358
Social expenses	2020	Sendai-shi	10194
Other goods & services	2020	Sendai-shi	288
Money gifts	2020	Sendai-shi	3088
Other social expenses	2020	Sendai-shi	2826
Remittance	2020	Sendai-shi	5913
(Regrouped) Expenses for education	2020	Sendai-shi	7216
(Regrouped) Expenses for culture & recreation	2020	Sendai-shi	19178
(Regrouped) Intel exchange	2020	Sendai-shi	11830
(Regrouped) Expense (except housing)	2020	Sendai-shi	165318
(Regrouped) Sum of Goods & Services 1)	2020	Sendai-shi	180515
Goods (commodities)	2020	Sendai-shi	106681
Durable goods	2020	Sendai-shi	7853
Semi-durable goods	2020	Sendai-shi	12876
Non-durable goods	2020	Sendai-shi	85951
Services	2020	Sendai-shi	73834
Engel's coefficient (%)	2020	Sendai-shi	28.7
Distribution of households	2020	Akita-shi	28
Num. of tabulated households	2020	Akita-shi	103
Num. of persons per household (persons)	2020	Akita-shi	2.04
Num. of earners per household (persons)	2020	Akita-shi	0.95
Age of household heads (years old)	2020	Akita-shi	59.9
Rate of owned dwellings (%)	2020	Akita-shi	79.3
Rate of rented dwellings & land (%)	2020	Akita-shi	23.3
Consumption expenditures	2020	Akita-shi	211447
Food	2020	Akita-shi	55570
Cereals	2020	Akita-shi	4250
Rice	2020	Akita-shi	1198
Bread	2020	Akita-shi	1534
Noodles	2020	Akita-shi	1279
Other cereals	2020	Akita-shi	238
Fish & shellfish	2020	Akita-shi	5292
Raw fish & shellfish	2020	Akita-shi	3007
Salted & dried fish	2020	Akita-shi	1029
Fish-paste products	2020	Akita-shi	439
Other processed fish	2020	Akita-shi	817
Meat	2020	Akita-shi	5128
Raw meat	2020	Akita-shi	4141
Processed meat	2020	Akita-shi	987
Dairy products & eggs	2020	Akita-shi	2817
Fresh milk	2020	Akita-shi	836
Dairy products	2020	Akita-shi	1377
Eggs	2020	Akita-shi	604
Vegetables & seaweeds	2020	Akita-shi	8008
Fresh vegetables	2020	Akita-shi	5456
Dried vegetables & seaweeds	2020	Akita-shi	573
Soybean products	2020	Akita-shi	1000
Other processed vegetables & seaweeds	2020	Akita-shi	978
Fruits	2020	Akita-shi	2945
Fresh fruits	2020	Akita-shi	2771
Processed fruits	2020	Akita-shi	174
Oils, fats & seasonings	2020	Akita-shi	2767
Oils & fats	2020	Akita-shi	274
Seasonings	2020	Akita-shi	2493
Cakes & candies	2020	Akita-shi	4783
Cooked food	2020	Akita-shi	7047
Cooked food with rice, bread or noodles	2020	Akita-shi	3006
Other cooked food	2020	Akita-shi	4042
Beverages	2020	Akita-shi	3540
Tea	2020	Akita-shi	806
Coffee & cocoa	2020	Akita-shi	746
Other beverages	2020	Akita-shi	1989
Alcoholic beverages	2020	Akita-shi	3227
Meals outside the home	2020	Akita-shi	5765
Eating out	2020	Akita-shi	5312
School lunch	2020	Akita-shi	452
Charges for board	2020	Akita-shi	0
Housing	2020	Akita-shi	16688
Rents for dwelling & land	2020	Akita-shi	8616
Repairs & maintenance	2020	Akita-shi	8072
Tools & materials for repairs & maintenance	2020	Akita-shi	2645
Service charges for repairs & maintenance	2020	Akita-shi	5427
Fuel, light & water charges	2020	Akita-shi	21906
Electricity	2020	Akita-shi	9524
Gas	2020	Akita-shi	4255
Other fuel & light	2020	Akita-shi	3585
Water & sewerage charges	2020	Akita-shi	4542
Furniture & household utensils	2020	Akita-shi	8233
Household durable goods	2020	Akita-shi	2718
Durable goods assisting housework	2020	Akita-shi	1550
Heating & cooling appliances	2020	Akita-shi	918
General furniture	2020	Akita-shi	249
Interior furnishings & decorations	2020	Akita-shi	314
Bedding	2020	Akita-shi	331
Domestic utensils	2020	Akita-shi	1669
Domestic non-durable goods	2020	Akita-shi	2442
Domestic services	2020	Akita-shi	759
Clothing & footwear	2020	Akita-shi	5815
Japanese clothing	2020	Akita-shi	4
Clothing	2020	Akita-shi	1798
Shirts & sweaters	2020	Akita-shi	859
Underwear	2020	Akita-shi	578
Cloth & thread	2020	Akita-shi	138
Other clothing	2020	Akita-shi	372
Footwear	2020	Akita-shi	1638
Services related to clothing	2020	Akita-shi	428
Medical care	2020	Akita-shi	9325
Medicines	2020	Akita-shi	2143
Health fortification	2020	Akita-shi	789
Medical supplies & appliances	2020	Akita-shi	1843
Medical services	2020	Akita-shi	4551
Transportation & communication	2020	Akita-shi	29781
Public transportation	2020	Akita-shi	1326
Private transportation	2020	Akita-shi	17540
Purchase of vehicles	2020	Akita-shi	5515
Purchase of bicycles	2020	Akita-shi	70
Maintenance of vehicles	2020	Akita-shi	11955
Communication	2020	Akita-shi	10915
Education	2020	Akita-shi	2963
Culture & recreation	2020	Akita-shi	18410
Recreational durable goods	2020	Akita-shi	1367
Recreational goods	2020	Akita-shi	4548
Books & other reading materials	2020	Akita-shi	2699
Recreational services	2020	Akita-shi	9795
Accommodation services	2020	Akita-shi	1470
Package tours	2020	Akita-shi	490
Lesson fees	2020	Akita-shi	1111
Other recreational services	2020	Akita-shi	6724
Other consumption expenditures	2020	Akita-shi	42756
Miscellaneous	2020	Akita-shi	16884
Personal care services	2020	Akita-shi	2073
Personal care goods	2020	Akita-shi	3629
Personal effects	2020	Akita-shi	567
Tobacco	2020	Akita-shi	807
Other miscellaneous	2020	Akita-shi	9808
Pocket money (of which, detailed uses unknown)	2020	Akita-shi	6078
Social expenses	2020	Akita-shi	13324
Other goods & services	2020	Akita-shi	398
Money gifts	2020	Akita-shi	5460
Other social expenses	2020	Akita-shi	2748
Remittance	2020	Akita-shi	6470
(Regrouped) Expenses for education	2020	Akita-shi	9242
(Regrouped) Expenses for culture & recreation	2020	Akita-shi	19632
(Regrouped) Intel exchange	2020	Akita-shi	15107
(Regrouped) Expense (except housing)	2020	Akita-shi	177314
(Regrouped) Sum of Goods & Services 1)	2020	Akita-shi	190691
Goods (commodities)	2020	Akita-shi	120361
Durable goods	2020	Akita-shi	13245
Semi-durable goods	2020	Akita-shi	12519
Non-durable goods	2020	Akita-shi	94597
Services	2020	Akita-shi	70329
Engel's coefficient (%)	2020	Akita-shi	26.3
Distribution of households	2020	Yamagata-shi	21
Num. of tabulated households	2020	Yamagata-shi	103
Num. of persons per household (persons)	2020	Yamagata-shi	2.32
Num. of earners per household (persons)	2020	Yamagata-shi	1.16
Age of household heads (years old)	2020	Yamagata-shi	59.1
